No of Cores:
1
Matrix 1:
200, 1,1, 1 
1,30, 20, 15
50, 1,1, 1
1,30, 20, 15
45, 2,1, 1 
1,30, 20, 15
47, 3,1, 1 
1,30, 20, 15
97, 2,1, 1 
1,30, 20, 15
126, 1,1, 1
1,30, 20, 15
1, 1,1, 1
1,30, 20, 15
2, 5,1, 1 
1,30, 20, 15
3, 4,1, 1
1,30, 20, 15
4, 5,1, 1 
1,30, 20, 15
5, 2,1, 1
1,30, 20, 15
110, 1,1, 1 
1,30, 20, 15
8, 3,1, 1
1,30, 20, 15
9, 4,1, 1
1,30, 20, 15
17, 5,1, 1 
1,30, 20, 15
18, 6,1, 1
1,30, 20, 15
17 , 7,1, 1
1,30, 20, 15
15 , 8,1, 1
1,30, 20, 15
12 ,9,1, 1
1,30, 20, 15
13, 1,1, 1
1,30, 20, 15
10, 4,1, 1
1,30, 20, 15
40, 5,1, 1
1,30, 20, 15
200, 1,1, 1
1,30, 20, 15
50, 1,1, 1
1,30, 20, 15
45, 2,1, 1
1,30, 20, 15
47, 3,1, 1
1,30, 20, 15
97, 2,1, 1
1,30, 20, 15
126, 1,1, 1
1,30, 20, 15
1, 1,1, 1
1,30, 20, 15
2, 5,1, 1
1,30, 20, 15
3, 4,1, 1
1,30, 20, 15
4, 5,1, 1
1,30, 20, 15
5, 2,1, 1
1,30, 20, 15
110, 1,1, 1
1,30, 20, 15
8, 3,1, 1
1,30, 20, 15
9, 4,1, 1
1,30, 20, 15
Matrix 2:
50, 1,1, 1, 1,30, 20, 15,45, 2,1
47, 3,1, 1, 1,30, 20, 15,97, 2,1
126, 1,1, 1, 1,30, 20, 15,1, 1,1
2, 5,1, 1, 1,30, 20, 15,3, 4,1
